"LSOA11CD","PCN_Code","PCN_Name","Patients","Proportion_residents_to_PCN"
"E01016849","U46447","Goldstone PCN",1693,0.836875926841325
"E01016850","U46447","Goldstone PCN",1624,0.728251121076233
"E01016851","U46447","Goldstone PCN",1842,0.816851441241685
"E01016852","U46447","Goldstone PCN",1652,0.805853658536585
"E01016853","U46447","Goldstone PCN",1894,0.84932735426009
"E01016854","U46447","Goldstone PCN",1577,0.756354916067146
"E01016855","U46447","Goldstone PCN",1683,0.896166134185304
"E01016856","U46447","Goldstone PCN",1771,0.822955390334573
"E01016857","U46447","Goldstone PCN",1595,0.846602972399151
"E01016858","U46447","Goldstone PCN",1488,0.867638483965015
"E01016859","U46447","Goldstone PCN",1897,0.899478425794215
"E01016860","U46447","Goldstone PCN",1727,0.881122448979592
"E01016861","U29677","East & Central Brighton PCN",1500,0.797024442082891
"E01016862","U29677","East & Central Brighton PCN",1321,0.839796567069294
"E01016863","U29677","East & Central Brighton PCN",1573,0.846153846153846
"E01016864","U29677","East & Central Brighton PCN",1603,0.939624853458382
"E01016865","U29677","East & Central Brighton PCN",1587,0.942959001782531
"E01016866","U29677","East & Central Brighton PCN",1642,0.957434402332362
"E01016867","U29677","East & Central Brighton PCN",1290,0.867518493611298
"E01016868","U29677","East & Central Brighton PCN",1681,0.940682708449916
"E01016869","U29677","East & Central Brighton PCN",2032,0.900310146211786
"E01016870","U46447","Goldstone PCN",1526,0.821313240043057
"E01016871","U46447","Goldstone PCN",1907,0.866424352567015
"E01016872","U46447","Goldstone PCN",1740,0.868696954568148
"E01016873","U46447","Goldstone PCN",1782,0.865468674113647
"E01016874","U46447","Goldstone PCN",2059,0.888649115235218
"E01016875","U46447","Goldstone PCN",1284,0.684070324986681
"E01016876","U46447","Goldstone PCN",1434,0.652411282984531
"E01016877","U46447","Goldstone PCN",1988,0.803232323232323
"E01016878","U46447","Goldstone PCN",1857,0.858926919518964
"E01016879","U14062","West Hove PCN",1112,0.680122324159021
"E01016880","U14062","West Hove PCN",1077,0.700260078023407
"E01016881","U14062","West Hove PCN",1144,0.671361502347418
"E01016882","U14062","West Hove PCN",1070,0.632761679479598
"E01016883","U14062","West Hove PCN",1108,0.697732997481108
"E01016884","U14062","West Hove PCN",1121,0.605618584548893
"E01016885","U46447","Goldstone PCN",785,0.513743455497382
"E01016886","U14062","West Hove PCN",1093,0.669320269442743
"E01016887","U14062","West Hove PCN",1138,0.711694809255785
"E01016888","U14062","West Hove PCN",837,0.495559502664298
"E01016889","U29677","East & Central Brighton PCN",1127,0.603642206748795
"E01016890","U29677","East & Central Brighton PCN",1099,0.510925151092515
"E01016891","U29677","East & Central Brighton PCN",1161,0.594165813715456
"E01016892","U29677","East & Central Brighton PCN",987,0.551088777219431
"E01016893","U29677","East & Central Brighton PCN",921,0.470137825421133
"E01016894","U29677","East & Central Brighton PCN",1443,0.693083573487032
"E01016895","U29677","East & Central Brighton PCN",1085,0.574074074074074
"E01016896","U29677","East & Central Brighton PCN",994,0.550692520775623
"E01016897","U29677","East & Central Brighton PCN",909,0.480443974630021
"E01016898","U55014","North & Central Brighton PCN",2038,0.688048615800135
"E01016899","U55014","North & Central Brighton PCN",8875,0.940148305084746
"E01016900","U22426","Dean's and Central Brighton PCN",638,0.336675461741425
"E01016901","U09072","Preston Park Community PCN",1077,0.566842105263158
"E01016902","U09072","Preston Park Community PCN",824,0.447826086956522
"E01016903","U09072","Preston Park Community PCN",1294,0.598243180767453
"E01016904","U29677","East & Central Brighton PCN",721,0.308779443254818
"E01016905","U09072","Preston Park Community PCN",732,0.403083700440529
"E01016906","U22426","Dean's and Central Brighton PCN",1109,0.613384955752212
"E01016907","U22426","Dean's and Central Brighton PCN",928,0.480331262939959
